id;start_date;end_date;language
1;2019-06-02T10:00:46;2019-06-02T03:09:04;FRENCH
2;2019-06-02T11:30:52;2019-06-01T20:37:02;FRENCH
3;2019-06-02T07:02:56;2019-06-01T22:26:56;FRENCH
4;2019-06-01T20:14:48;2019-06-02T03:41:49;FRENCH
5;2019-06-02T05:13:27;2019-06-02T09:57:35;FRENCH
6;2019-06-02T11:30:27;2019-06-02T12:47:23;FRENCH
7;2019-06-01T20:52:47;2019-06-02T09:33:34;FRENCH
8;2019-06-01T18:24:06;2019-06-02T02:24:15;FRENCH
9;2019-06-02T04:12:12;2019-06-02T12:36:50;FRENCH
10;2019-06-02T07:30:21;2019-06-02T04:46:36;FRENCH
